AÑO,ALCALDIA,POBLACION
1990,Álvaro Obregón,640749
1990,Azcapotzalco,474688
1990,Benito Juárez,407811
1990,Coyoacán,640066
1990,Cuajimalpa de Morelos,114385
1990,Cuauhtémoc,595960
1990,Gustavo A. Madero,1278888
1990,Iztacalco,448322
1990,Iztapalapa,1490499
1990,La Magdalena Contreras,195041
1990,Miguel Hidalgo,406868
1990,Milpa Alta,66524
1990,Tláhuac,209013
1990,Tlalpan,484544
1990,Venustiano Carranza,519628
1990,Xochimilco,265131
1990,CDMX,8239395
1995,Álvaro Obregón,676930
1995,Azcapotzalco,455131
1995,Benito Juárez,369956
1995,Coyoacán,653489
1995,Cuajimalpa de Morelos,136873
1995,Cuauhtémoc,540382
1995,Gustavo A. Madero,1256913
1995,Iztacalco,418982
1995,Iztapalapa,1696609
1995,La Magdalena Contreras,211898
1995,Miguel Hidalgo,364398
1995,Milpa Alta,84100
1995,Tláhuac,257572
1995,Tlalpan,552395
1995,Venustiano Carranza,485623
1995,Xochimilco,327290
1995,CDMX,8489007
2000,Álvaro Obregón,686783
2000,Azcapotzalco,441008
2000,Benito Juárez,360478
2000,Coyoacán,640423
2000,Cuajimalpa de Morelos,151222
2000,Cuauhtémoc,516201
2000,Gustavo A. Madero,1235083
2000,Iztacalco,411288
2000,Iztapalapa,1768785
2000,La Magdalena Contreras,221979
2000,Miguel Hidalgo,352640
2000,Milpa Alta,99437
2000,Tláhuac,308786
2000,Tlalpan,581397
2000,Venustiano Carranza,462806
2000,Xochimilco,358223
2000,CDMX,8605239
2005,Álvaro Obregón,706567
2005,Azcapotzalco,425298
2005,Benito Juárez,355017
2005,Coyoacán,628063
2005,Cuajimalpa de Morelos,173625
2005,Cuauhtémoc,521348
2005,Gustavo A. Madero,1193161
2005,Iztacalco,395025
2005,Iztapalapa,1820888
2005,La Magdalena Contreras,228927
2005,Miguel Hidalgo,353534
2005,Milpa Alta,115895
2005,Tláhuac,344106
2005,Tlalpan,607545
2005,Venustiano Carranza,447459
2005,Xochimilco,404458
2005,CDMX,8720916
2010,Álvaro Obregón,727034
2010,Azcapotzalco,414711
2010,Benito Juárez,385439
2010,Coyoacán,620416
2010,Cuajimalpa de Morelos,186391
2010,Cuauhtémoc,531831
2010,Gustavo A. Madero,1185772
2010,Iztacalco,384326
2010,Iztapalapa,1815786
2010,La Magdalena Contreras,239086
2010,Miguel Hidalgo,372889
2010,Milpa Alta,130582
2010,Tláhuac,360265
2010,Tlalpan,650567
2010,Venustiano Carranza,430978
2010,Xochimilco,415007
2010,CDMX,8851080
2015,Álvaro Obregón,749982
2015,Azcapotzalco,400161
2015,Benito Juárez,417416
2015,Coyoacán,608479
2015,Cuajimalpa de Morelos,199224
2015,Cuauhtémoc,532553
2015,Gustavo A. Madero,1164477
2015,Iztacalco,390348
2015,Iztapalapa,1827868
2015,La Magdalena Contreras,243886
2015,Miguel Hidalgo,364439
2015,Milpa Alta,137927
2015,Tláhuac,364593
2015,Tlalpan,677104
2015,Venustiano Carranza,427263
2015,Xochimilco,415933
2015,CDMX,8921653
2020,Álvaro Obregón,759137
2020,Azcapotzalco,432205
2020,Benito Juárez,434153
2020,Coyoacán,614447
2020,Cuajimalpa de Morelos,217686
2020,Cuauhtémoc,545884
2020,Gustavo A. Madero,1173351
2020,Iztacalco,404695
2020,Iztapalapa,1835486
2020,La Magdalena Contreras,247622
2020,Miguel Hidalgo,414470
2020,Milpa Alta,152685
2020,Tláhuac,392313
2020,Tlalpan,699928
2020,Venustiano Carranza,443704
2020,Xochimilco,442178
2020,CDMX,9209944
